ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender,Married,Dependents,Education,Self_Employed,Property_Area,Loan_Status
5849,0,146,360,1,Male,No,0,Graduate,No,Urban,Y
4583,1508,128,360,1,Male,Yes,1,Graduate,No,Rural,N
3000,0,66,360,1,Male,Yes,0,Graduate,Yes,Urban,Y
2583,2358,120,360,1,Male,Yes,1,Graduate,No,Urban,Y
6000,0,141,360,1,Male,Yes,2,Not Graduate,No,Urban,Y
5417,4196,267,360,1,Male,Yes,2,Graduate,Yes,Urban,Y
2333,1516,95,360,1,Male,Yes,0,Graduate,No,Urban,Y
3036,2504,158,360,0,Male,Yes,0,Graduate,No,Urban,N
4006,1526,168,360,1,Male,Yes,2,Graduate,No,Urban,Y
12841,10968,349,360,1,Male,Yes,2,Graduate,No,Semiurban,N
3200,700,70,360,1,Male,Yes,2,Graduate,No,Urban,Y
2500,1840,109,360,1,Male,Yes,0,Graduate,No,Urban,Y
3073,8106,200,360,1,Male,Yes,1,Graduate,No,Urban,Y
1853,2840,114,360,1,Male,Yes,0,Graduate,No,Rural,N
1299,1086,17,120,1,Male,Yes,0,Graduate,No,Urban,Y
4950,0,125,360,1,Female,No,0,Graduate,No,Urban,Y
3596,0,100,240,1,Male,No,0,Graduate,No,Urban,Y
3510,0,76,360,0,Male,Yes,0,Not Graduate,Yes,Urban,N
4887,0,133,360,1,Male,Yes,2,Graduate,No,Urban,Y
2600,3500,115,360,1,Male,Yes,0,Graduate,No,Urban,Y
7660,0,104,360,0,Male,Yes,2,Graduate,No,Urban,N
5955,5625,315,360,1,Male,Yes,2,Graduate,No,Urban,Y
2600,1911,116,360,1,Male,Yes,0,Graduate,No,Urban,Y
3365,1917,112,360,1,Male,Yes,2,Graduate,No,Urban,Y
3717,0,56,360,1,Male,No,0,Graduate,No,Urban,Y
9560,0,191,360,1,Male,Yes,4,Graduate,No,Urban,Y
2799,2253,122,360,1,Male,Yes,1,Graduate,No,Urban,Y
4226,1040,110,360,1,Male,Yes,2,Graduate,No,Urban,Y
1442,0,35,360,1,Male,No,0,Graduate,No,Urban,Y
3750,2083,120,360,1,Female,Yes,0,Graduate,No,Semiurban,Y
4166,0,74,360,0,Male,No,1,Graduate,No,Urban,N
2165,3422,152,360,1,Male,Yes,0,Graduate,No,Urban,Y
8072,240,253,360,1,Male,Yes,2,Graduate,No,Urban,Y
7583,0,187,360,1,Male,Yes,0,Graduate,No,Urban,Y
4583,0,133,360,0,Male,No,0,Graduate,Yes,Semiurban,N
2820,2034,100,360,1,Male,Yes,2,Graduate,No,Urban,Y
3833,0,137,360,1,Male,Yes,0,Graduate,Yes,Rural,N
3036,0,30,360,1,Male,No,0,Graduate,Yes,Urban,Y
2504,3073,56,360,1,Male,Yes,0,Graduate,No,Urban,Y
4000,7750,175,360,1,Male,Yes,2,Graduate,No,Urban,Y
2900,0,71,360,1,Female,No,0,Graduate,No,Rural,Y
4106,0,40,180,1,Male,No,0,Graduate,Yes,Rural,Y
8072,240,253,360,1,Male,Yes,2,Graduate,No,Urban,Y
7100,0,125,360,1,Male,No,0,Graduate,No,Urban,Y
5266,1774,187,360,1,Male,Yes,2,Graduate,No,Urban,Y
5667,0,173,360,1,Male,Yes,2,Graduate,No,Semiurban,Y
2400,2400,123,360,1,Male,Yes,3,Graduate,No,Urban,Y
1800,1213,47,360,1,Male,Yes,2,Not Graduate,No,Urban,Y
2600,1700,80,360,1,Male,Yes,0,Graduate,No,Urban,Y
6700,0,140,360,1,Male,Yes,1,Graduate,No,Semiurban,Y
6875,0,200,300,1,Male,Yes,1,Graduate,Yes,Urban,Y
